date,open,high,low,close,volume,vwap,trades
2015-01-02 05:00:00,0.5033,0.507,0.4953,0.5033,113680480.0,0.5014,16563
2015-01-05 05:00:00,0.5033,0.5048,0.4925,0.4948,197951960.0,0.4965,23761
2015-01-06 05:00:00,0.4955,0.496,0.4793,0.4798,197764840.0,0.4846,29041
2015-01-07 05:00:00,0.4833,0.4875,0.477,0.4784,321807440.0,0.4804,30758
2015-01-08 05:00:00,0.484,0.4995,0.4838,0.4965,283781360.0,0.4958,34776
2015-01-09 05:00:00,0.4983,0.5023,0.4914,0.4985,209544040.0,0.4968,27780
2015-01-12 05:00:00,0.4998,0.4999,0.4878,0.4923,190732280.0,0.4925,24651
2015-01-13 05:00:00,0.496,0.506,0.4881,0.4914,236718400.0,0.4965,33857
2015-01-14 05:00:00,0.4863,0.495,0.485,0.4935,155261240.0,0.4917,24530
2015-01-15 05:00:00,0.497,0.5,0.4898,0.49,188950280.0,0.4939,30253
2015-01-16 05:00:00,0.4893,0.4995,0.4878,0.499,181512000.0,0.4959,24793
2015-01-20 05:00:00,0.5025,0.5053,0.4943,0.5005,140308760.0,0.4993,20574
2015-01-21 05:00:00,0.4978,0.5088,0.4943,0.5075,144779760.0,0.5054,23533
2015-01-22 05:00:00,0.5085,0.5176,0.5033,0.5163,159712400.0,0.512,23925
2015-01-23 05:00:00,0.5168,0.5186,0.5125,0.5178,120415560.0,0.5167,20891
2015-01-26 05:00:00,0.5155,0.518,0.5123,0.5154,133240320.0,0.5152,19394
2015-01-27 05:00:00,0.5075,0.508,0.4898,0.4908,357948840.0,0.4975,45576
2015-01-28 05:00:00,0.4968,0.4988,0.4825,0.4828,272728560.0,0.4891,33668
2015-01-29 05:00:00,0.483,0.4973,0.4808,0.4945,235341240.0,0.4893,33436
2015-01-30 05:00:00,0.491,0.4967,0.4793,0.4801,298198720.0,0.4836,33310
2015-02-02 05:00:00,0.483,0.4925,0.4735,0.4905,259605960.0,0.4845,40338
2015-02-03 05:00:00,0.494,0.5033,0.4915,0.5028,183466800.0,0.4997,27744
2015-02-04 05:00:00,0.5013,0.5096,0.4996,0.504,181514880.0,0.5046,25629
2015-02-05 05:00:00,0.5045,0.5125,0.504,0.5121,140447800.0,0.5087,22125
2015-02-06 05:00:00,0.5118,0.5178,0.5078,0.51,210522920.0,0.5118,24425
2015-02-09 05:00:00,0.507,0.511,0.5038,0.5095,273967720.0,0.5084,36866
2015-02-10 05:00:00,0.51,0.524,0.5078,0.5238,226204520.0,0.5182,29716
2015-02-11 05:00:00,0.525,0.525,0.5168,0.5203,320042240.0,0.5215,44037
2015-02-12 05:00:00,0.55,0.5625,0.5468,0.5575,676903520.0,0.5572,80709
2015-02-13 05:00:00,0.5563,0.5585,0.5478,0.5578,310085960.0,0.5541,38435
2015-02-17 05:00:00,0.5568,0.5623,0.5533,0.5594,203338640.0,0.5584,27989
2015-02-18 05:00:00,0.5588,0.5598,0.552,0.553,170959880.0,0.5546,25842
2015-02-19 05:00:00,0.56,0.561,0.552,0.5544,169430400.0,0.5545,20950
2015-02-20 05:00:00,0.554,0.5588,0.55,0.5584,157752800.0,0.5556,19548
2015-02-23 05:00:00,0.5583,0.5583,0.5513,0.554,125036720.0,0.5536,16389
2015-02-24 05:00:00,0.554,0.5578,0.549,0.5578,149332720.0,0.555,17823
2015-02-25 05:00:00,0.5555,0.558,0.5509,0.5535,123821040.0,0.5544,17547
2015-02-26 05:00:00,0.554,0.5581,0.5505,0.555,152863880.0,0.5546,19666
2015-02-27 05:00:00,0.5535,0.5548,0.5495,0.5515,157490920.0,0.552,19656
2015-03-02 05:00:00,0.55,0.568,0.5493,0.5649,301511240.0,0.5625,36654
2015-03-03 05:00:00,0.5608,0.5635,0.5528,0.5545,160345520.0,0.5568,22865
2015-03-04 05:00:00,0.5525,0.562,0.5503,0.5608,226839880.0,0.5578,30410
2015-03-05 05:00:00,0.5608,0.5725,0.5593,0.5715,323057000.0,0.5683,37886
2015-03-06 05:00:00,0.5683,0.571,0.5631,0.5638,257392280.0,0.5658,34708
2015-03-09 04:00:00,0.564,0.5695,0.5628,0.5653,222387720.0,0.5661,30588
2015-03-10 04:00:00,0.5678,0.5787,0.5668,0.5749,527210680.0,0.5742,69924
2015-03-11 04:00:00,0.575,0.5825,0.5704,0.572,262118600.0,0.5753,34423
2015-03-12 04:00:00,0.5665,0.5708,0.556,0.5668,406970400.0,0.5644,46057
2015-03-13 04:00:00,0.564,0.569,0.5563,0.5675,359287520.0,0.5625,39389
2015-03-16 04:00:00,0.572,0.5778,0.5683,0.5743,236954560.0,0.5737,30941
2015-03-17 04:00:00,0.573,0.5815,0.569,0.5813,299942240.0,0.5764,35807
2015-03-18 04:00:00,0.5813,0.5843,0.5665,0.5718,413843360.0,0.5758,54193
2015-03-19 04:00:00,0.5738,0.5825,0.5695,0.5804,310754360.0,0.579,34908
2015-03-20 04:00:00,0.5853,0.5901,0.5798,0.5868,462084760.0,0.586,40609
2015-03-23 04:00:00,0.5693,0.5768,0.5675,0.5678,426011080.0,0.5704,50831
