date,open,high,low,close,volume,vwap,trades
2015-01-02 05:00:00,14.96,15.39,14.89,15.11,8759912.0,15.1227,18972
2015-01-05 05:00:00,15.34,15.57,15.23,15.5,9535913.0,15.4619,20577
2015-01-06 05:00:00,15.59,16.01,15.54,15.83,9969920.0,15.8004,23197
2015-01-07 05:00:00,15.7,15.95,15.68,15.85,8129281.0,15.859,14261
2015-01-08 05:00:00,15.84,15.95,15.61,15.64,5063784.0,15.7421,12087
2015-01-09 05:00:00,15.71,15.92,15.68,15.77,4402051.0,15.77,10905
2015-01-12 05:00:00,15.82,15.94,15.76,15.87,5517199.0,15.8628,9936
2015-01-13 05:00:00,16.36,16.47,16.18,16.29,15538546.0,16.3362,25825
2015-01-14 05:00:00,16.23,16.3574,16.12,16.13,7356644.0,16.2189,17207
2015-01-15 05:00:00,16.33,16.478,16.11,16.15,10896821.0,16.3306,24560
2015-01-16 05:00:00,16.42,17.09,16.4,16.95,22232410.0,16.8084,39922
2015-01-20 05:00:00,17.06,17.26,17.01,17.18,10879730.0,17.1385,22234
2015-01-21 05:00:00,17.65,17.6922,17.24,17.37,13769376.0,17.4135,28270
2015-01-22 05:00:00,17.58,17.69,17.4,17.61,8313104.0,17.5657,20739
2015-01-23 05:00:00,17.48,17.565,17.33,17.51,6373861.0,17.4706,15456
2015-01-26 05:00:00,17.36,17.38,17.11,17.13,8168797.0,17.192,17232
2015-01-27 05:00:00,17.19,17.43,17.18,17.33,5612161.0,17.3089,13999
2015-01-28 05:00:00,17.23,17.39,17.18,17.23,5283501.0,17.2667,13328
2015-01-29 05:00:00,16.73,16.74,16.03,16.24,17828058.0,16.3246,38971
2015-01-30 05:00:00,16.17,16.595,16.105,16.54,8490990.0,16.4188,22230
2015-02-02 05:00:00,16.4,16.61,16.35,16.47,5851962.0,16.4844,15931
2015-02-03 05:00:00,16.58,16.75,16.35,16.55,7277160.0,16.5407,16063
2015-02-04 05:00:00,16.68,16.92,16.62,16.63,6890018.0,16.7126,15418
2015-02-05 05:00:00,16.39,16.6,16.27,16.58,6264380.0,16.4403,13248
2015-02-06 05:00:00,16.18,16.245,15.85,16.03,12120085.0,16.0276,23788
2015-02-09 05:00:00,16.23,16.4,16.22,16.32,3944088.0,16.3221,8291
2015-02-10 05:00:00,16.22,16.375,16.13,16.19,5525858.0,16.22,9377
2015-02-11 05:00:00,16.22,16.23,16.02,16.08,4646053.0,16.1048,10095
2015-02-12 05:00:00,16.15,16.22,16.03,16.15,4937101.0,16.1267,8489
2015-02-13 05:00:00,16.52,16.705,16.4801,16.54,7132119.0,16.5964,15843
2015-02-17 05:00:00,15.75,15.84,15.61,15.83,15675162.0,15.7376,25422
2015-02-18 05:00:00,15.74,15.9,15.57,15.75,10134400.0,15.7215,18321
2015-02-19 05:00:00,15.8,15.86,15.65,15.7,7418314.0,15.7511,13115
2015-02-20 05:00:00,15.73,15.79,15.5,15.54,7582840.0,15.6147,15537
2015-02-23 05:00:00,15.71,15.9001,15.564,15.63,6310488.0,15.7235,12766
2015-02-24 05:00:00,15.57,15.786,15.4,15.56,8074716.0,15.5702,16460
2015-02-25 05:00:00,15.83,15.86,15.7401,15.83,5359389.0,15.8156,10088
2015-02-26 05:00:00,16.01,16.03,15.81,15.84,3976022.0,15.9119,8075
2015-02-27 05:00:00,15.94,15.9643,15.84,15.87,4137606.0,15.8907,9304
2015-03-02 05:00:00,15.86,15.895,15.65,15.66,6431066.0,15.7552,12450
2015-03-03 05:00:00,15.75,15.8532,15.49,15.5799,6843940.0,15.6021,11803
2015-03-04 05:00:00,15.59,15.62,15.39,15.49,6200728.0,15.4969,10177
2015-03-05 05:00:00,15.55,15.662,15.46,15.53,4671878.0,15.5397,8974
2015-03-06 05:00:00,15.21,15.26,15.1,15.19,9729786.0,15.1828,17490
2015-03-09 04:00:00,15.16,15.2,15.1,15.1,4081142.0,15.1347,8416
2015-03-10 04:00:00,15.1,15.17,14.98,15.02,5890842.0,15.0454,11884
2015-03-11 04:00:00,14.96,14.96,14.63,14.84,10644824.0,14.7712,18313
2015-03-12 04:00:00,14.96,14.98,14.82,14.92,3716554.0,14.8965,8915
2015-03-13 04:00:00,14.92,14.95,14.82,14.9,3739343.0,14.8865,8332
2015-03-16 04:00:00,15.04,15.04,14.8401,14.9899,4686560.0,14.9565,8903
2015-03-17 04:00:00,14.76,15.0699,14.75,14.9,5200401.0,14.9259,9752
2015-03-18 04:00:00,14.86,15.38,14.81,15.36,10475099.0,15.1643,23040
2015-03-19 04:00:00,15.25,15.5,15.22,15.44,6068720.0,15.3966,12885
2015-03-20 04:00:00,15.61,16.17,15.585,16.0,14795334.0,15.9703,27271
2015-03-23 04:00:00,16.12,16.36,16.08,16.3,10523989.0,16.211,20691
2015-03-24 04:00:00,16.22,16.28,16.08,16.28,5265755.0,16.213,15275
2015-03-25 04:00:00,16.36,16.39,16.21,16.24,3933685.0,16.2855,9743
2015-03-26 04:00:00,16.35,16.41,16.26,16.3,5380219.0,16.3389,11827
2015-03-27 04:00:00,16.35,16.36,16.13,16.22,5036611.0,16.2619,12470
2015-03-30 04:00:00,16.06,16.07,15.91,15.98,6812509.0,15.9864,15415
2015-03-31 04:00:00,15.94,16.11,15.85,15.93,5294285.0,15.9543,12385
2015-04-01 04:00:00,16.0,16.35,16.0,16.23,6478085.0,16.1795,15154
2015-04-02 04:00:00,16.05,16.13,15.875,16.02,5718511.0,15.9892,13939
2015-04-06 04:00:00,16.45,16.57,16.24,16.27,5948534.0,16.4032,13819
2015-04-07 04:00:00,16.14,16.17,16.06,16.15,3090127.0,16.1242,8082
2015-04-08 04:00:00,16.08,16.095,15.68,15.81,6865736.0,15.829,15018
2015-04-09 04:00:00,15.5,15.58,15.44,15.51,8648822.0,15.5208,17698
2015-04-10 04:00:00,15.88,15.95,15.6803,15.77,6341733.0,15.8044,11652
2015-04-13 04:00:00,15.63,15.66,15.58,15.6,3809682.0,15.6179,7425
2015-04-14 04:00:00,15.53,15.66,15.49,15.51,4084405.0,15.5371,7878
2015-04-15 04:00:00,15.52,15.7,15.47,15.63,3591191.0,15.5828,8873
2015-04-16 04:00:00,15.69,15.73,15.44,15.57,5128990.0,15.5925,11262
2015-04-17 04:00:00,15.61,15.65,15.52,15.56,3606794.0,15.5796,7835
2015-04-20 04:00:00,15.36,15.36,15.18,15.29,6082326.0,15.2645,12915
2015-04-21 04:00:00,15.28,15.4,15.235,15.32,3319479.0,15.3015,7115
2015-04-22 04:00:00,15.25,15.279,15.02,15.11,6213151.0,15.1201,12254
2015-04-23 04:00:00,15.11,15.25,15.07,15.21,4905112.0,15.1706,9446
2015-04-24 04:00:00,15.12,15.1499,14.925,15.06,6116450.0,15.0253,12616
2015-04-27 04:00:00,15.31,15.76,15.28,15.66,11179249.0,15.5954,21994
2015-04-28 04:00:00,15.715,15.96,15.71,15.87,7710747.0,15.8719,16738
2015-04-29 04:00:00,15.94,15.99,15.78,15.81,6737957.0,15.908,13909
2015-04-30 04:00:00,15.29,15.49,15.125,15.43,11330249.0,15.2895,22585
2015-05-01 04:00:00,15.35,15.49,15.25,15.47,4877236.0,15.3631,11253
2015-05-04 04:00:00,15.92,15.95,15.67,15.7,6919812.0,15.8332,14892
2015-05-05 04:00:00,15.94,15.96,15.79,15.81,4543676.0,15.8594,9095
2015-05-06 04:00:00,15.9,15.9257,15.72,15.77,5217870.0,15.8217,11114
2015-05-07 04:00:00,15.74,15.76,15.58,15.6,3675423.0,15.6217,6546
2015-05-08 04:00:00,15.77,15.78,15.63,15.76,4352197.0,15.7291,7736
2015-05-11 04:00:00,15.76,15.84,15.5,15.57,4685310.0,15.6215,8364
2015-05-12 04:00:00,15.64,15.88,15.64,15.81,5070862.0,15.7759,10644
2015-05-13 04:00:00,16.31,16.47,16.25,16.35,17716361.0,16.2695,26050
2015-05-14 04:00:00,16.7,16.8,16.6,16.65,9165011.0,16.6773,19394
2015-05-15 04:00:00,16.7,16.81,16.66,16.75,5022421.0,16.7538,11681
2015-05-18 04:00:00,16.91,16.96,16.8,16.89,4940517.0,16.8987,10789
2015-05-19 04:00:00,16.65,16.67,16.14,16.38,9879424.0,16.3735,21386
2015-05-20 04:00:00,16.44,16.53,16.3258,16.37,4375152.0,16.4295,10751
2015-05-21 04:00:00,16.35,16.45,16.34,16.39,2663461.0,16.3957,6731
2015-05-22 04:00:00,16.33,16.45,16.28,16.34,3683346.0,16.3394,10289
2015-05-26 04:00:00,16.01,16.155,15.98,16.02,6757432.0,16.051,13313
2015-05-27 04:00:00,15.96,16.02,15.9,15.96,3721841.0,15.9536,8019
2015-05-28 04:00:00,15.96,15.995,15.82,15.97,4236815.0,15.9304,9255
2015-05-29 04:00:00,16.02,16.08,15.96,15.99,3200853.0,16.01,6737
2015-06-01 04:00:00,16.24,16.42,15.95,16.0,9324402.0,16.1638,20107
2015-06-02 04:00:00,16.01,16.11,15.98,16.07,4705263.0,16.0515,13048
2015-06-03 04:00:00,15.88,15.9299,15.7,15.83,6778120.0,15.8254,15067
2015-06-04 04:00:00,15.57,15.62,15.43,15.48,11927451.0,15.5812,16861
2015-06-05 04:00:00,15.3,15.48,15.29,15.39,6930892.0,15.3667,13989
2015-06-08 04:00:00,15.35,15.37,15.23,15.32,6149255.0,15.3048,13108
2015-06-09 04:00:00,15.36,15.389,15.27,15.29,4774914.0,15.3156,10087
2015-06-10 04:00:00,15.46,15.46,15.28,15.32,4901874.0,15.3526,13058
2015-06-11 04:00:00,15.29,15.36,15.17,15.33,3781459.0,15.2757,8039
2015-06-12 04:00:00,15.21,15.3,15.17,15.25,4867021.0,15.2196,9257
2015-06-15 04:00:00,15.29,15.56,15.29,15.4,7010322.0,15.4151,13000
2015-06-16 04:00:00,15.26,15.34,15.2,15.32,3859822.0,15.2679,7745
2015-06-17 04:00:00,15.34,15.56,15.26,15.45,7996448.0,15.4124,13863
2015-06-18 04:00:00,15.69,15.7,15.42,15.46,7599204.0,15.5562,14271
2015-06-19 04:00:00,15.46,15.49,15.2,15.42,6101229.0,15.3924,10795
2015-06-22 04:00:00,15.35,15.55,15.3301,15.49,5014098.0,15.449,9990
2015-06-23 04:00:00,15.15,15.22,15.07,15.14,9716877.0,15.1308,17162
2015-06-24 04:00:00,15.18,15.23,15.13,15.19,3689409.0,15.1886,6746
2015-06-25 04:00:00,15.11,15.2,15.09,15.17,4995700.0,15.1532,8841
2015-06-26 04:00:00,15.05,15.13,15.01,15.11,4754165.0,15.0792,8681
2015-06-29 04:00:00,15.11,15.14,15.0,15.03,6983304.0,15.0436,17626
2015-06-30 04:00:00,14.93,15.18,14.8,15.03,10391558.0,14.9488,18475
2015-07-01 04:00:00,14.91,14.99,14.86,14.9,5470540.0,14.9116,10713
2015-07-02 04:00:00,14.99,15.03,14.893,14.95,4405526.0,14.948,9807
