date,open,high,low,close,volume,vwap,trades
2015-01-02 05:00:00,17.99,18.03,17.6801,17.9,48951133.0,17.8582,75518
2015-01-05 05:00:00,17.785,17.81,17.29,17.38,105605485.0,17.4312,128622
2015-01-06 05:00:00,17.42,17.44,16.78,16.86,144912399.0,16.9862,188426
2015-01-07 05:00:00,17.14,17.18,16.87,16.94,104603795.0,16.9989,139239
2015-01-08 05:00:00,17.16,17.34,17.1,17.29,73388499.0,17.2377,112743
2015-01-09 05:00:00,17.38,17.38,16.95,16.98,84144582.0,17.0456,116675
2015-01-12 05:00:00,17.025,17.03,16.66,16.68,92762501.0,16.755,126379
2015-01-13 05:00:00,16.82,16.89,16.32,16.45,100845428.0,16.5805,171933
2015-01-14 05:00:00,16.0,16.215,15.77,16.04,164779753.0,15.9947,229100
2015-01-15 05:00:00,15.59,15.76,15.15,15.2,193241269.0,15.4279,268621
2015-01-16 05:00:00,15.16,15.4,14.97,15.38,149802031.0,15.2019,208334
2015-01-20 05:00:00,15.59,15.63,15.2,15.26,123402773.0,15.3431,167586
2015-01-21 05:00:00,15.28,15.57,15.15,15.41,101054166.0,15.3936,151627
2015-01-22 05:00:00,15.55,16.19,15.43,16.09,183042071.0,15.9424,205524
2015-01-23 05:00:00,16.04,16.19,15.73,15.73,103376863.0,15.8826,128710
2015-01-26 05:00:00,15.72,15.93,15.7,15.85,69969283.0,15.8259,99546
2015-01-27 05:00:00,15.55,15.79,15.48,15.63,86184227.0,15.616,130000
2015-01-28 05:00:00,15.72,15.73,15.18,15.2,105359816.0,15.389,146530
2015-01-29 05:00:00,15.31,15.49,15.2,15.43,76095811.0,15.3566,127849
2015-01-30 05:00:00,15.23,15.47,15.15,15.15,99844602.0,15.2482,131554
2015-02-02 05:00:00,15.27,15.49,15.12,15.46,101586694.0,15.3024,166932
2015-02-03 05:00:00,15.62,15.93,15.61,15.89,105159425.0,15.7933,161602
2015-02-04 05:00:00,15.79,16.0,15.75,15.79,83848119.0,15.8899,128536
2015-02-05 05:00:00,15.98,16.09,15.9,15.97,92264706.0,16.0031,112886
2015-02-06 05:00:00,16.3,16.75,16.22,16.49,160832299.0,16.5546,229506
2015-02-09 05:00:00,16.35,16.5,16.25,16.35,95532929.0,16.4039,108556
2015-02-10 05:00:00,16.56,16.62,16.35,16.42,100322839.0,16.4404,97843
2015-02-11 05:00:00,16.33,16.45,16.21,16.36,99924367.0,16.3094,126546
2015-02-12 05:00:00,16.41,16.73,16.37,16.67,116394126.0,16.6054,153129
2015-02-13 05:00:00,16.73,16.79,16.54,16.61,93632718.0,16.6498,192467
2015-02-17 05:00:00,16.525,16.68,16.37,16.63,93350603.0,16.5381,110359
2015-02-18 05:00:00,16.55,16.56,16.24,16.3,84057353.0,16.3692,124461
2015-02-19 05:00:00,16.21,16.38,16.08,16.21,83604303.0,16.2295,113929
2015-02-20 05:00:00,16.14,16.43,16.01,16.38,89763586.0,16.2606,113873
2015-02-23 05:00:00,16.32,16.32,16.1,16.2,87623654.0,16.1757,90760
2015-02-24 05:00:00,16.27,16.55,16.25,16.38,74109596.0,16.4196,99581
2015-02-25 05:00:00,16.37,16.5,16.32,16.49,57200974.0,16.4247,77870
2015-02-26 05:00:00,16.42,16.44,15.9,16.04,161100671.0,16.1135,183230
2015-02-27 05:00:00,15.78,15.88,15.62,15.81,130448222.0,15.7751,167943
2015-03-02 05:00:00,15.79,16.03,15.715,16.01,71402439.0,15.9451,125734
2015-03-03 05:00:00,16.03,16.15,15.96,16.04,65689812.0,16.0557,95419
2015-03-04 05:00:00,15.96,15.98,15.76,15.84,78441603.0,15.8551,116037
2015-03-05 05:00:00,15.92,16.03,15.745,16.0,69509958.0,15.9668,103584
2015-03-06 05:00:00,16.41,16.62,16.16,16.22,163207226.0,16.3796,215610
2015-03-09 04:00:00,16.31,16.33,16.12,16.17,72912722.0,16.2077,106179
2015-03-10 04:00:00,16.04,16.13,15.79,15.79,85633552.0,15.9048,125290
2015-03-11 04:00:00,15.92,16.16,15.87,16.11,85910140.0,16.0424,124383
2015-03-12 04:00:00,16.05,16.21,15.9,16.09,126376330.0,16.0428,167815
2015-03-13 04:00:00,16.08,16.15,15.94,16.09,88581887.0,16.0492,144381
2015-03-16 04:00:00,16.11,16.22,15.85,16.13,63406461.0,16.0846,99563
2015-03-17 04:00:00,16.07,16.12,15.96,16.09,67314982.0,16.0363,86356
2015-03-18 04:00:00,16.01,16.1,15.91,15.98,86387603.0,15.996,118537
2015-03-19 04:00:00,15.96,15.97,15.61,15.61,109169157.0,15.7076,148022
2015-03-20 04:00:00,15.695,15.93,15.64,15.84,99867679.0,15.8153,118640
2015-03-23 04:00:00,15.82,15.88,15.72,15.72,73773531.0,15.763,93125
2015-03-24 04:00:00,15.73,15.8,15.61,15.61,77010981.0,15.6899,107436
2015-03-25 04:00:00,15.63,15.65,15.4,15.41,88541470.0,15.4922,121481
2015-03-26 04:00:00,15.385,15.54,15.26,15.42,76741501.0,15.4263,108743
2015-03-27 04:00:00,15.48,15.49,15.27,15.31,73140825.0,15.3158,100028
2015-03-30 04:00:00,15.42,15.61,15.4,15.52,70835266.0,15.5318,93607
2015-03-31 04:00:00,15.5,15.52,15.38,15.39,61381735.0,15.4341,80928
2015-04-01 04:00:00,15.42,15.46,15.25,15.41,73153854.0,15.3757,126168
2015-04-02 04:00:00,15.43,15.62,15.43,15.54,50443508.0,15.5392,76056
2015-04-06 04:00:00,15.39,15.6,15.34,15.51,51189543.0,15.5011,73735
2015-04-07 04:00:00,15.53,15.65,15.45,15.46,50057793.0,15.5311,72976
2015-04-08 04:00:00,15.51,15.74,15.5,15.61,71732476.0,15.6544,99842
2015-04-09 04:00:00,15.63,15.76,15.53,15.71,44935551.0,15.6459,73191
2015-04-10 04:00:00,15.69,15.79,15.6,15.72,43817662.0,15.7234,65566
2015-04-13 04:00:00,15.78,15.86,15.74,15.8,49191244.0,15.8084,73375
2015-04-14 04:00:00,15.88,15.95,15.71,15.82,84385405.0,15.8091,110811
2015-04-15 04:00:00,15.7,15.85,15.59,15.64,124479058.0,15.7038,158216
2015-04-16 04:00:00,15.64,15.94,15.58,15.79,105591004.0,15.8144,144679
2015-04-17 04:00:00,15.71,15.75,15.5,15.56,88994274.0,15.5699,114889
2015-04-20 04:00:00,15.62,15.69,15.56,15.57,53649399.0,15.6082,86647
2015-04-21 04:00:00,15.6,15.64,15.43,15.5,64033133.0,15.5348,80206
2015-04-22 04:00:00,15.55,15.83,15.49,15.74,73092762.0,15.6928,91956
2015-04-23 04:00:00,15.72,15.8,15.68,15.69,50292151.0,15.7316,65199
2015-04-24 04:00:00,15.71,15.75,15.61,15.64,40766109.0,15.6555,59880
2015-04-27 04:00:00,15.63,15.76,15.56,15.56,73523391.0,15.6188,70214
2015-04-28 04:00:00,15.58,15.71,15.5,15.65,58080055.0,15.612,72234
2015-04-29 04:00:00,15.6,16.04,15.57,15.98,134499395.0,15.9188,146958
2015-04-30 04:00:00,16.0,16.05,15.7949,15.93,78313865.0,15.9243,112736
2015-05-01 04:00:00,16.0,16.15,15.92,16.11,78171362.0,16.0605,100780
2015-05-04 04:00:00,16.14,16.45,16.12,16.44,76592284.0,16.3231,99858
2015-05-05 04:00:00,16.42,16.61,16.33,16.35,106148744.0,16.4687,130038
2015-05-06 04:00:00,16.36,16.49,16.08,16.29,96426526.0,16.2697,121938
2015-05-07 04:00:00,16.23,16.33,16.09,16.24,73794827.0,16.2321,108533
2015-05-08 04:00:00,16.32,16.46,16.22,16.45,86333659.0,16.3644,108650
2015-05-11 04:00:00,16.45,16.59,16.43,16.49,56246007.0,16.5251,78934
2015-05-12 04:00:00,16.46,16.48,16.35,16.43,59627058.0,16.4115,83276
2015-05-13 04:00:00,16.44,16.52,16.36,16.47,47330638.0,16.4513,65323
2015-05-14 04:00:00,16.53,16.59,16.45,16.52,55395660.0,16.5128,71299
2015-05-15 04:00:00,16.52,16.52,16.3,16.35,54937772.0,16.3765,76870
2015-05-18 04:00:00,16.31,16.54,16.31,16.51,51059870.0,16.4912,78143
2015-05-19 04:00:00,16.59,16.78,16.58,16.77,89115475.0,16.7257,106389
2015-05-20 04:00:00,16.78,16.85,16.63,16.74,67683965.0,16.7524,83934
2015-05-21 04:00:00,16.71,16.75,16.56,16.73,52056583.0,16.6803,75199
2015-05-22 04:00:00,16.72,16.8,16.705,16.75,47032906.0,16.7665,65139
2015-05-26 04:00:00,16.73,16.73,16.43,16.5,100048158.0,16.5216,97577
2015-05-27 04:00:00,16.56,16.75,16.54,16.74,70026719.0,16.6673,91408
2015-05-28 04:00:00,16.72,16.73,16.58,16.67,60969979.0,16.6392,79180
2015-05-29 04:00:00,16.66,16.67,16.47,16.5,74266166.0,16.5303,84916
2015-06-01 04:00:00,16.58,16.64,16.47,16.55,62941625.0,16.5536,83502
2015-06-02 04:00:00,16.52,16.76,16.5,16.72,65513210.0,16.6703,77648
2015-06-03 04:00:00,16.79,17.02,16.74,16.93,89614868.0,16.9103,97321
2015-06-04 04:00:00,16.87,16.98,16.72,16.78,61025453.0,16.83,91533
2015-06-05 04:00:00,17.04,17.35,16.965,17.19,119087408.0,17.1804,149444
2015-06-08 04:00:00,17.27,17.33,17.05,17.08,69749600.0,17.129,83738
2015-06-09 04:00:00,17.05,17.35,17.0,17.31,82104858.0,17.2331,95813
2015-06-10 04:00:00,17.39,17.62,17.36,17.59,102643147.0,17.5461,99071
2015-06-11 04:00:00,17.62,17.675,17.44,17.49,77191527.0,17.5397,89887
2015-06-12 04:00:00,17.45,17.58,17.36,17.49,53149442.0,17.4555,86300
2015-06-15 04:00:00,17.33,17.5,17.25,17.47,68053373.0,17.413,89426
2015-06-16 04:00:00,17.46,17.5599,17.37,17.55,47291181.0,17.4976,72974
2015-06-17 04:00:00,17.59,17.595,17.3,17.37,88712103.0,17.4443,108712
2015-06-18 04:00:00,17.35,17.4,17.22,17.38,97599930.0,17.3145,124581
2015-06-19 04:00:00,17.28,17.39,17.12,17.17,83395443.0,17.2267,87403
2015-06-22 04:00:00,17.36,17.53,17.35,17.47,58477740.0,17.4593,82679
2015-06-23 04:00:00,17.56,17.72,17.56,17.67,63865708.0,17.6525,82296
2015-06-24 04:00:00,17.53,17.69,17.45,17.49,59079475.0,17.5381,73956
2015-06-25 04:00:00,17.57,17.62,17.35,17.37,59772167.0,17.4579,75356
2015-06-26 04:00:00,17.48,17.52,17.35,17.41,63080788.0,17.416,72601
2015-06-29 04:00:00,17.13,17.25,16.86,16.89,98604168.0,17.0057,140569
2015-06-30 04:00:00,17.08,17.13,16.85,17.02,89039753.0,16.993,120493
2015-07-01 04:00:00,17.25,17.31,17.09,17.22,62317352.0,17.2029,91174
2015-07-02 04:00:00,17.16,17.21,16.89,17.03,64736475.0,17.0189,89528
2015-07-06 04:00:00,16.78,17.01,16.71,16.94,58726886.0,16.8806,88415
2015-07-07 04:00:00,16.9,16.93,16.34,16.69,115450479.0,16.5497,170118
2015-07-08 04:00:00,16.42,16.5,16.22,16.25,83032960.0,16.3635,147096
2015-07-09 04:00:00,16.53,16.72,16.45,16.48,81534426.0,16.5353,124764
2015-07-10 04:00:00,16.795,16.84,16.66,16.7,72965257.0,16.7257,90505
2015-07-13 04:00:00,16.97,17.05,16.9,17.02,67934294.0,16.9751,99041
2015-07-14 04:00:00,16.93,17.15,16.86,17.13,69999818.0,17.0813,123861
2015-07-15 04:00:00,17.53,17.85,17.49,17.68,173099934.0,17.6634,210088
2015-07-16 04:00:00,17.91,18.07,17.86,17.95,117054318.0,17.9726,163770
2015-07-17 04:00:00,17.96,18.16,17.89,18.1,96894911.0,18.0739,120541
2015-07-20 04:00:00,18.15,18.23,18.08,18.12,71980057.0,18.1621,97208
2015-07-21 04:00:00,18.11,18.17,18.02,18.08,63732762.0,18.0818,101429
2015-07-22 04:00:00,18.03,18.48,18.03,18.45,110327018.0,18.3106,133547
2015-07-23 04:00:00,18.39,18.43,18.08,18.18,103650135.0,18.2323,134992
