date,open,high,low,close,volume,vwap,trades
2015-01-02 05:00:00,112.49,114.8,112.32,114.08,7109594.0,113.6595,31808
2015-01-05 05:00:00,114.78,116.0,114.73,115.8,8177350.0,115.4078,33835
2015-01-06 05:00:00,116.22,117.5,115.8,117.12,11238313.0,116.7905,56804
2015-01-07 05:00:00,116.47,116.88,116.17,116.43,6434196.0,116.5214,29840
2015-01-08 05:00:00,116.45,116.87,115.85,115.94,7033675.0,116.3159,26906
2015-01-09 05:00:00,116.51,117.34,116.5,117.26,7962886.0,117.0201,34920
2015-01-12 05:00:00,117.46,118.71,117.32,118.56,8318211.0,118.1627,33110
2015-01-13 05:00:00,118.96,119.19,117.87,118.16,7693200.0,118.5256,35764
2015-01-14 05:00:00,119.08,119.32,117.9,117.97,7727403.0,118.6315,31960
2015-01-15 05:00:00,120.41,121.695,120.34,120.94,17692548.0,120.9897,70404
2015-01-16 05:00:00,121.73,123.15,121.705,122.52,14428223.0,122.4771,66441
2015-01-20 05:00:00,123.63,124.6,123.49,124.2,14968636.0,124.1175,64472
2015-01-21 05:00:00,125.18,125.34,123.37,124.23,11082739.0,124.2251,61871
2015-01-22 05:00:00,125.07,125.58,124.145,125.23,10518355.0,124.9356,43750
2015-01-23 05:00:00,124.43,124.5,123.35,124.23,6270911.0,124.039,29698
2015-01-26 05:00:00,123.33,123.3447,122.52,122.99,6768646.0,122.9452,31267
2015-01-27 05:00:00,123.56,124.64,123.51,124.4,9584838.0,124.1692,45577
2015-01-28 05:00:00,123.52,123.89,122.94,123.42,8470574.0,123.5525,39675
2015-01-29 05:00:00,121.99,122.29,120.26,120.76,11997964.0,121.1282,51929
2015-01-30 05:00:00,121.3,123.55,120.915,123.45,14555862.0,122.7392,55395
2015-02-02 05:00:00,121.84,123.155,121.82,122.42,8885189.0,122.4528,40205
2015-02-03 05:00:00,121.74,121.76,120.5648,121.05,8255863.0,121.156,41300
2015-02-04 05:00:00,121.63,122.22,120.92,121.58,5386747.0,121.5058,25901
2015-02-05 05:00:00,120.98,121.83,120.61,121.79,6879945.0,121.3812,25486
2015-02-06 05:00:00,119.15,119.52,117.95,118.64,13206906.0,118.6759,52569
2015-02-09 05:00:00,118.83,119.4,118.77,119.17,5237181.0,119.1166,22469
2015-02-10 05:00:00,118.63,119.06,118.21,118.47,4086321.0,118.5664,17214
2015-02-11 05:00:00,118.49,118.57,117.0,117.07,6784397.0,117.4712,32037
2015-02-12 05:00:00,117.68,117.82,117.09,117.34,4344444.0,117.3968,18764
2015-02-13 05:00:00,118.05,118.58,117.79,117.98,4108870.0,118.1254,19647
2015-02-17 05:00:00,116.4,116.54,115.58,116.01,7225154.0,116.0548,31209
2015-02-18 05:00:00,115.99,116.53,114.99,116.34,8336029.0,115.8629,40808
2015-02-19 05:00:00,116.4,116.54,115.74,115.94,6528724.0,116.1133,27852
2015-02-20 05:00:00,116.1,116.455,115.05,115.28,6681734.0,115.6541,30677
2015-02-23 05:00:00,115.11,116.22,115.07,115.43,4812393.0,115.4927,23199
2015-02-24 05:00:00,115.0,115.55,114.29,115.26,7612919.0,115.0087,35338
2015-02-25 05:00:00,115.83,115.89,115.33,115.7,5032535.0,115.6753,18865
2015-02-26 05:00:00,116.54,116.55,115.83,116.07,4025356.0,116.1588,18851
2015-02-27 05:00:00,116.74,117.07,116.16,116.16,8255636.0,116.5262,32488
2015-03-02 05:00:00,116.5,116.64,115.62,115.68,7993280.0,116.047,35070
2015-03-03 05:00:00,116.04,116.61,115.35,115.47,4738347.0,115.8181,22193
2015-03-04 05:00:00,115.7,115.79,115.02,115.11,4762403.0,115.3053,21777
2015-03-05 05:00:00,115.43,116.12,114.84,115.0,5872197.0,115.2906,22541
2015-03-06 05:00:00,113.17,113.26,111.7,111.86,11190846.0,112.3876,50780
2015-03-09 04:00:00,112.42,112.62,111.95,111.97,5534011.0,112.2303,27202
2015-03-10 04:00:00,112.09,112.35,111.22,111.42,7019781.0,111.7422,30718
2015-03-11 04:00:00,111.23,111.25,110.16,110.75,6550445.0,110.646,31430
2015-03-12 04:00:00,111.15,111.2,110.25,110.72,6631459.0,110.7189,28676
2015-03-13 04:00:00,111.1,111.28,110.51,110.88,4557576.0,110.8484,21442
2015-03-16 04:00:00,111.09,111.205,110.42,110.81,3265305.0,110.7721,18102
2015-03-17 04:00:00,109.92,111.35,109.77,110.21,8923264.0,110.4509,41120
2015-03-18 04:00:00,110.33,112.87,110.09,112.37,12448040.0,111.4759,56091
2015-03-19 04:00:00,111.85,112.58,111.58,112.29,6537743.0,112.15,34467
2015-03-20 04:00:00,112.71,114.0,112.67,113.57,8033444.0,113.4664,35463
2015-03-23 04:00:00,113.7,114.3701,113.4899,114.29,4240258.0,113.9369,24883
2015-03-24 04:00:00,114.35,114.6499,113.82,114.57,2979338.0,114.3131,15997
2015-03-25 04:00:00,115.11,115.14,114.65,114.73,3021437.0,114.8861,16951
2015-03-26 04:00:00,115.73,115.84,115.34,115.48,5495161.0,115.6189,26858
2015-03-27 04:00:00,115.14,115.36,114.45,115.06,4921741.0,115.0233,27201
2015-03-30 04:00:00,113.9,114.01,113.54,113.75,4383858.0,113.8064,23293
2015-03-31 04:00:00,113.84,114.28,113.4065,113.66,4383314.0,113.7703,21179
2015-04-01 04:00:00,114.56,115.99,114.54,115.6,7324008.0,115.38,35302
2015-04-02 04:00:00,115.47,115.72,114.68,115.28,3884072.0,115.1609,20850
2015-04-06 04:00:00,117.32,117.47,116.52,116.69,5914163.0,116.9985,31252
2015-04-07 04:00:00,116.27,116.51,115.94,116.11,2468498.0,116.2128,13811
2015-04-08 04:00:00,115.98,116.03,114.9,115.47,5568527.0,115.4342,29402
2015-04-09 04:00:00,114.8,114.85,114.48,114.67,4707044.0,114.6738,24377
2015-04-10 04:00:00,116.0,116.19,115.5,115.966,3932404.0,115.8756,19260
2015-04-13 04:00:00,115.35,115.3899,114.8,115.14,3190149.0,115.1328,14860
2015-04-14 04:00:00,114.69,115.07,114.39,114.44,3651459.0,114.5827,19084
2015-04-15 04:00:00,114.8,115.6,114.47,115.43,3655950.0,115.0972,19913
2015-04-16 04:00:00,115.55,115.66,114.64,115.03,3132336.0,115.0987,17025
2015-04-17 04:00:00,115.38,115.79,115.23,115.6,3496313.0,115.546,16695
2015-04-20 04:00:00,114.82,114.95,114.3162,114.72,3932756.0,114.637,21957
2015-04-21 04:00:00,114.72,115.56,114.65,115.38,3317715.0,115.2045,15247
2015-04-22 04:00:00,114.83,114.96,113.77,113.83,5695960.0,114.0323,25786
2015-04-23 04:00:00,113.9,114.96,113.81,114.66,3459495.0,114.3851,18843
2015-04-24 04:00:00,113.96,114.07,112.77,113.05,7152913.0,113.1264,30496
2015-04-27 04:00:00,113.87,115.82,113.67,115.33,7487557.0,115.0278,36779
2015-04-28 04:00:00,115.36,116.62,115.34,116.33,8054361.0,116.2664,34784
2015-04-29 04:00:00,116.06,116.39,115.28,115.51,7170477.0,115.8638,30315
2015-04-30 04:00:00,113.88,113.88,112.96,113.47,9440253.0,113.4773,39475
2015-05-01 04:00:00,112.42,113.3089,112.28,113.08,7597006.0,112.7092,27371
2015-05-04 04:00:00,114.18,114.44,113.88,114.1,3648052.0,114.1068,19204
2015-05-05 04:00:00,114.89,115.11,114.39,114.42,3856520.0,114.6773,19685
