year,n_train,n_val,n_test,ic_ensemble,ic_lgb,ic_ridge,ic_xgb,w_lgb,w_ridge,w_enet,w_xgb,avg_spread,n_trees,n_xgb_trees,n_enet_features,prep_sec,time_sec
2005,2745297,57847,57150,0.09361109188664596,0.09326262260817873,0.0829398155595694,0.08724909732270646,0.2523939914706376,0.2522166074523699,0.2587009808810401,0.2366884201959525,0.025515174493193626,231,101,76,0,345.5
2006,2803144,57150,56274,0.10220227954394474,0.09839929530393336,0.08844046856418654,0.0958867829313442,0.30015800575896057,0.2326930644368532,0.20387188001395895,0.2632770497902273,0.02967333234846592,798,375,64,0,364.0
2007,2860294,56274,55307,0.08632035586995196,0.08822995366159715,0.0672341444428379,0.07703136356191102,0.25396429749379557,0.24612077753629885,0.2479547158672717,0.251960209102634,0.028604881837964058,295,164,66,0,332.4
2008,2916568,55307,53574,0.13292130880815722,0.1312807976692461,0.1018537006304171,0.11111670461956158,0.2871155129313512,0.20759403269332782,0.2494583600580138,0.25583209431730713,0.05635528638958931,414,158,67,0,325.6
2009,2971875,53574,49941,0.035936934161194985,0.04713852192374501,0.03119473046131376,0.03290230894310066,0.2686227055931745,0.22267630199125032,0.24746926660867619,0.2612317258068989,-0.024899287149310112,677,311,72,0,355.1
2010,3025449,49941,47952,0.08408743751563542,0.07719499603719547,0.07220693257544243,0.07892726641995887,0.020763373485642823,0.7962530569670464,0.16707857514086843,0.01590499440644236,0.016369668766856194,3,6,66,0,314.6
2011,3075390,47952,46139,0.12620807641893408,0.12267933186478212,0.09209279242833497,0.09837665080456408,0.2876111211887893,0.22573832422756152,0.21039642710261994,0.27625412748102923,0.04928213730454445,771,456,69,0,390.1
2012,3123342,46139,44550,0.09682180664594287,0.09514030359944038,0.07609071352011376,0.09108077890522773,0.27327198890427373,0.22248977648031806,0.24265014055037665,0.26158809406503153,0.02285255491733551,765,272,59,0,358.2
2013,3169481,44550,43480,0.0657036315864837,0.06797484980872769,0.05472122002427944,0.06080224364906532,0.2760823073155692,0.20938055072189343,0.24963206719033804,0.2649050747721994,-0.0013689653715118766,677,199,69,0,352.4
2014,3214031,43480,44439,0.14046315561920378,0.14857799749589842,0.09945222137174153,0.13154790402127284,0.26725421574677993,0.24543123994066066,0.23237657790448274,0.2549379664080766,0.03702840581536293,174,32,66,0,337.7
2015,3257511,44439,44999,0.15595404138022115,0.15662147068490995,0.12529673201611355,0.1251535614914808,0.28190701681278757,0.2120281276000339,0.24888829959207953,0.25717655599509903,0.044472042471170425,621,330,67,0,387.5
2016,3301950,44999,43781,0.08857295479101195,0.09189405758950649,0.07247681011767494,0.0800755663071657,0.2665815197858349,0.22120327975680662,0.25379678447053594,0.25841841598682247,0.016810180619359016,792,471,65,0,433.9
2017,3346949,43781,42923,0.11098076775816836,0.11316167520788145,0.0933435703394714,0.10425113041270564,0.27469842416390244,0.22909649471966623,0.2200937533535831,0.2761113277628483,0.02074177749454975,494,295,68,0,385.2
2018,3390730,42923,42915,0.08785487461260932,0.08803363274151223,0.060909675918069554,0.08380953412807662,0.2639945388803293,0.22877169584017737,0.24671645869513073,0.26051730658436256,0.014614189974963665,516,289,61,0,386.7
2019,3433653,42915,42939,0.11570532994011479,0.1203384657328459,0.08282687191819786,0.11623116860650318,0.29030583008538213,0.2016678732216307,0.24071340307214734,0.26731289362083976,0.02708331309258938,800,475,70,0,437.6
2020,3476568,42939,43029,-0.008249445296530331,0.004109574406429559,-0.006552042010665071,-0.007810064824700986,0.2936655670848452,0.2021448787551683,0.2414867836737323,0.26270277048625423,-0.07508964836597443,799,393,72,0,430.9
2021,3519507,43029,48433,0.25165895230392493,0.1828049846411288,0.2043564749858221,0.2456407291683472,0.31447734790700616,0.10242214276628667,0.3055330030318466,0.27756750629486054,0.07163096219301224,1,0,65,0,367.1
2022,3562536,48433,52627,0.15789969827023817,0.15186509792981348,0.13036143888964222,0.1273022310384302,0.26223258614692463,0.222201407316486,0.26200123129123526,0.2535647752453541,0.05960183963179588,324,211,62,0,424.4
2023,3610969,52627,49741,0.18904623885167635,0.1936532724896304,0.15437913476851092,0.16955930558369037,0.26436308379874546,0.2274683026900414,0.2456911830242781,0.262477430486935,0.06652794033288956,640,309,64,0,457.8
2024,3663596,49741,46800,0.1574978192993462,0.15779207624761413,0.1299918323306457,0.1497641750927699,0.26709271349493596,0.22769174717448218,0.24043552952463687,0.26478000980594496,0.03428708016872406,800,589,64,0,492.6
