feature,importance
gsector,9.842590171829087
beat_miss_streak,4.58669569169904
sue_ibes,3.946757566384387
pe_op_basic,2.400470355362086
mom_1m,2.2795625024634654
inst_breadth,2.2524174916199025
mom_12_2,2.2508931082339556
peg_ltgforward,2.1760989862749667
mom_6m,2.0342493951077865
insider_ceo_buy,2.026325901742625
realized_vol,1.940093574425516
revenue_cagr_2yr,1.7281617986555322
pe_exi,1.6406888469148437
peg_1yrforward,1.633155356720949
insider_cluster_buy,1.617550435004127
capex_to_depreciation,1.5674356964418246
idio_vol,1.547322433677395
bm,1.4990395095884388
analyst_revision,1.4866686869464634
log_market_cap,1.438153900595572
eps_revision_1m,1.3371677683172885
analyst_dispersion,1.3299782692506832
fcf_to_revenue,1.310437074208163
net_debt_to_ebitda,1.2923836653337264
cf_earnings_divergence,1.2921613076894283
piotroski_f_score,1.2488519890504695
revision_breadth,1.2414254786196441
revenue_acceleration,1.230013266330134
rd_intensity,1.2233567430270094
non_current_accruals,1.2203000281519003
turnover,1.1874038837769378
beneish_sgi,1.1867340585537005
beneish_aqi,1.1757218757624712
num_analysts_fy1,1.1627648533958395
accrual,1.1438685905148176
capex_intensity,1.1404264709942613
ccc_trend,1.135344725698528
eps_dispersion_trend,1.1180214421092132
accruals_to_cash_flow,1.1148516259983279
debt_to_equity_change,1.1096925981596075
beneish_m_score,1.1068783299459974
cash_conversion_cycle,1.0963256712397804
earnings_smoothness,1.0956971733488805
insider_buy_ratio_6m,1.082560325658531
net_operating_assets,1.0809511787050796
dsri,1.0682434547945738
fcf_to_revenue_trend,1.0621101402659467
interest_coverage_trend,1.0258916659004036
montier_c_score,1.024408525244484
sue,1.0142766298267902
debt_maturity_risk,1.0053275357134435
operating_margin_trend,1.0014383212472406
gross_margin_trend,0.9919885223093603
working_capital_accruals,0.9869675547110799
operating_leverage,0.9805019985081456
inst_hhi,0.956249665536425
inst_ownership_change,0.9561811969356228
margin_divergence,0.9498056842881581
net_margin_trend,0.9463942903204291
altman_z_score,0.9277222516042982
gross_margin_vol,0.8978960376412566
revenue_growth_yoy,0.8866844738366397
beneish_gmi,0.8649233591522776
earnings_persistence,0.8190004794168113
insider_num_sells,0.7422480213593915
total_inst_shares,0.47184256518206463
insider_buy_ratio,0.4474165318036243
num_institutions,0.41483129087314896
