feature,importance
gsector,9.70107964994822
realized_vol,5.320350525696876
beat_miss_streak,3.6181713684407
pe_op_basic,3.0714407248579523
idio_vol,2.853724544513411
fcf_to_revenue,2.6450757181446845
sue_ibes,2.6388682637453624
inst_breadth,2.4198444325983575
insider_ceo_buy,2.1936247617848146
peg_1yrforward,2.1882395733714457
mom_12_2,2.142406450090858
insider_cluster_buy,2.0314286531362584
mom_6m,1.8799573543525656
revision_breadth,1.7593834102607169
inst_ownership_change,1.614071014190093
mom_1m,1.6028577154087706
turnover,1.583823200310669
sue,1.4924361674355349
bm,1.456694837992542
eps_revision_1m,1.3707027231434727
accrual,1.3250204092142133
revenue_cagr_2yr,1.3024831408764157
total_inst_shares,1.2604988502153864
eps_dispersion_trend,1.2359318926120078
revenue_growth_yoy,1.211932075735111
insider_buy_ratio_6m,1.2007792305226628
revenue_acceleration,1.143673974168955
eps_revision_3m,1.1436209963915394
piotroski_f_score,1.1227282326634005
inst_hhi,1.1063764144357027
num_analysts_fy1,1.0907600688954417
rd_intensity,1.0759009548075675
operating_margin_trend,1.0709456622477906
gross_margin_vol,1.0472981043065275
analyst_revision,1.0427223400530985
earnings_smoothness,1.0378641530621278
insider_buy_ratio,1.0277302339241636
beneish_aqi,1.003454260570392
debt_maturity_risk,0.9950025847418544
altman_z_score,0.9598299794659674
insider_num_sells,0.959129390169483
net_debt_to_ebitda,0.929265406538423
capex_intensity,0.9227857791274389
cash_conversion_cycle,0.9181373151414054
capex_to_depreciation,0.9180575710090773
num_institutions,0.908459593945049
analyst_dispersion,0.900001434664494
ohlson_o_score,0.8964599823661462
non_current_accruals,0.8926056019907722
accruals_to_cash_flow,0.8900413201112982
net_operating_assets,0.8883818542101967
montier_c_score,0.8847125907660891
margin_divergence,0.8448059697656826
debt_to_equity_change,0.8427082398974519
fcf_to_revenue_trend,0.8388176454162828
dsri,0.8354795276550323
beneish_gmi,0.8280811857064663
cf_earnings_divergence,0.8227133584801803
beneish_sgi,0.8137548442398167
net_margin_trend,0.7859738948362466
peg_ltgforward,0.7787941693941096
interest_coverage_trend,0.7514529474645999
gross_margin_trend,0.7476720350355717
working_capital_accruals,0.7442043051591416
operating_leverage,0.7278613820504839
log_market_cap,0.7219891232436775
ccc_trend,0.7124914552435333
earnings_persistence,0.6833015343845315
beneish_m_score,0.6231258936536902
