year,tier,n_train,n_val,n_test,ic_ensemble,w_lambdarank,w_huber,avg_spread,lr_trees,huber_trees,time_sec
2005,large,50649,6834,7298,-0.02792526652308226,0.30653756721324804,0.693462432786752,-0.012674927711486816,2,186,6.4
2006,large,52405,7298,7711,0.011088687904086215,0.6459158560072116,0.3540841439927885,0.0020096569787710905,25,1,4.3
2007,large,53841,7711,8077,-0.05384239098682695,0.5819325505160048,0.4180674494839951,-0.016038278117775917,15,8,4.4
2008,large,55203,8077,6824,-0.06623340990327614,0.7069099412644319,0.29309005873556804,-0.02462913654744625,7,20,4.3
2009,large,56802,6824,5824,0.04439062328069628,0.9495560215531345,0.05044397844686556,0.026523089036345482,1,5,4.1
2010,large,58061,5824,7056,0.05752870990346701,0.6388718841475729,0.3611281158524271,0.01654973439872265,54,109,6.7
2011,large,56928,7056,7564,0.021816676479498268,0.5825341312902749,0.4174658687097252,0.003659109817817807,2,11,4.6
2012,large,57458,7564,7353,0.006225790429473174,0.26278181789487765,0.7372181821051225,-0.0018342862604185939,4,700,11.2
2013,large,59419,7353,8275,-0.0004719036197456345,0.580670135836378,0.41932986416362195,0.0042847222648561,7,2,4.7
2014,large,60888,8275,8989,-0.006585244487661596,0.44749986440664524,0.5525001355933548,-0.01002038735896349,6,1,4.2
2015,large,61648,8989,8905,-0.06920928470722758,0.5015775483806227,0.4984224516193772,-0.01936444081366062,19,9,4.7
2016,large,63185,8905,8321,0.005087666030322248,0.6087042389498161,0.39129576105018393,-0.00021431159984786063,60,24,6.2
2017,large,64522,8321,8887,-0.01751047726830974,0.94463260103158,0.055367398968419905,0.008876684121787548,71,1,5.7
2018,large,64807,8887,8994,0.04010071805475804,0.3182615796844352,0.6817384203155648,0.01064747292548418,7,209,6.9
2019,large,66719,8994,8802,0.03492703700905049,0.36488379563363704,0.6351162043663631,0.007373310625553131,7,58,5.2
2020,large,69841,8802,8624,-0.023942051483616295,0.21679585178149058,0.7832041482185094,-0.00643174210563302,100,162,8.6
2021,large,71678,8624,11110,-0.14869400568943916,0.896177154844101,0.10382284515589905,-0.0529237799346447,10,11,5.1
2022,large,72666,11110,10024,-0.007480116898520011,0.4857361062144735,0.5142638937855265,-0.005969725549221039,1,1,4.8
2023,large,75238,10024,9596,0.011330571895941319,0.5640181516882637,0.43598184831173625,0.005457255989313126,1,50,5.9
2024,large,77799,9596,9648,0.02079541574241481,0.4779934344797889,0.5220065655202111,0.007956921122968197,33,244,9.6
