year,tier,n_train,n_val,n_test,ic_ensemble,w_lambdarank,w_huber,avg_spread,lr_trees,huber_trees,time_sec
2005,mid,98407,12811,13058,-0.007336140503913155,0.17577798779318543,0.8242220122068147,-0.004918242339044809,1,200,10.7
2006,mid,101142,13058,13501,0.004990696482545083,0.38940543157356033,0.6105945684264397,0.0017150421626865864,4,1,6.9
2007,mid,102796,13501,12869,-0.007362119676588595,0.37787581015066435,0.6221241898493356,-0.0007376248831860721,29,213,12.3
2008,mid,103817,12869,10770,0.045120464689239616,0.18418514414190912,0.8158148558580908,0.015850290656089783,2,77,9.4
2009,mid,104543,10770,9785,0.028794109815369343,0.5975055179232311,0.4024944820767689,0.024932069703936577,9,86,9.1
2010,mid,104196,9785,10649,0.04259001423674728,0.3874593550813879,0.6125406449186122,0.006241410505026579,20,211,11.7
2011,mid,101293,10649,10640,-0.007833568823634,0.5885478766520704,0.4114521233479295,-0.0006741750985383987,8,37,7.6
2012,mid,100360,10640,10519,0.028126267941931318,0.37826330528675467,0.6217366947132453,0.014165128581225872,2,534,15.0
2013,mid,100102,10519,10580,-0.00976401212663616,0.2721629330234096,0.7278370669765903,-0.008353427983820438,8,70,7.8
2014,mid,99337,10580,10859,0.032606797948256286,0.1460646531325585,0.8539353468674415,0.001861942932009697,3,1,7.0
2015,mid,96998,10859,10758,0.06376757409847941,0.2553927420943124,0.7446072579056876,0.012424004264175892,3,537,14.8
2016,mid,94772,10758,10389,0.014806202980741505,0.47243842957614546,0.5275615704238544,0.009343481622636318,3,396,12.3
2017,mid,92075,10389,10370,0.03898283359752369,0.19776572093908745,0.8022342790609126,0.013956266455352306,20,12,6.8
2018,mid,89756,10370,10509,0.0030376687243873044,0.9302058573303527,0.06979414266964731,0.008979598991572857,3,1,5.9
2019,mid,89365,10509,9810,0.0436613221673568,0.009794401205018316,0.9902055987949817,0.0034023262560367584,7,227,9.1
2020,mid,90009,9810,9341,0.044120107881332644,0.40077383109620884,0.5992261689037911,0.020414749160408974,4,256,9.6
2021,mid,89603,9341,10830,0.07626342136554898,0.46128710655456945,0.5387128934454305,0.03696049004793167,12,1,6.1
2022,mid,88440,10830,10843,0.06126535243717177,0.4513015323322252,0.5486984676677749,0.006115323398262262,1,206,8.6
2023,mid,87779,10843,9325,0.015452360316440256,0.43321283835422575,0.5667871616457743,0.014872632920742035,3,109,7.4
2024,mid,88457,9325,8683,-0.0012526048028324835,0.1376216867476237,0.8623783132523762,-0.000828244723379612,1,13,6.2
