year,tier,n_train,n_val,n_test,ic_ensemble,w_lambdarank,w_huber,avg_spread,lr_trees,huber_trees,time_sec
2005,small,179369,18297,18066,0.06049237151212408,0.19147683792352024,0.8085231620764798,0.008776242844760418,2,360,20.7
2006,small,176253,18066,17713,0.09440343009511994,0.3823080933513024,0.6176919066486977,0.024225665256381035,85,378,26.1
2007,small,170497,17713,17442,0.07194178092100076,0.1366099643141651,0.8633900356858348,0.0317014642059803,6,617,26.5
2008,small,163340,17442,15931,0.09317513652108028,0.3465481091602242,0.6534518908397758,0.04047686234116554,28,137,15.9
2009,small,156927,15931,14026,0.05942111362060029,0.18868486173014953,0.8113151382698506,0.006459929049015045,13,297,18.0
2010,small,152509,14026,13859,0.030266095134871395,0.25139973233490254,0.7486002676650976,0.004251350183039904,2,23,10.8
2011,small,146347,13859,12428,0.06662258509868015,0.1607281190282288,0.8392718809717711,0.03388555347919464,1,433,18.1
2012,small,142498,12428,11961,0.0870057558982721,0.1838023901453084,0.8161976098546917,0.03359173983335495,1,467,18.3
2013,small,138999,11961,11143,0.05282751883989612,0.14606500834669905,0.8539349916533009,0.01100889127701521,4,700,20.6
2014,small,133740,11143,11447,0.12703330963072654,0.1820403843228435,0.8179596156771564,0.03345050662755966,6,25,9.7
2015,small,127064,11447,11340,0.09889171900173956,0.11421867367088463,0.8857813263291153,0.0418776236474514,2,630,19.3
2016,small,120161,11340,10948,0.0477909016790845,0.3228403720624472,0.6771596279375529,0.02219974435865879,2,436,15.2
2017,small,113880,10948,9931,0.06601189583524317,0.3207452285075171,0.6792547714924829,0.01295479852706194,24,78,9.2
2018,small,107801,9931,9804,0.09328321405805212,0.14428219968677417,0.8557178003132258,0.003943676594644785,137,396,17.5
2019,small,102169,9804,10280,0.09374779472931323,0.11186840789605529,0.8881315921039447,0.003893123706802726,4,330,12.4
2020,small,97932,10280,10943,-0.003921099424811332,0.25520466982839535,0.7447953301716047,-0.06350136548280716,5,302,11.7
2021,small,94131,10943,13275,-0.058430371107125456,0.8472665952851566,0.1527334047148434,-0.0013496732572093606,44,1,7.5
2022,small,92260,13275,14433,0.10366234637939054,0.3215924432419981,0.6784075567580018,0.03222299739718437,1,75,7.2
2023,small,92144,14433,11231,0.13956002220522049,0.17351828699801217,0.8264817130019879,0.05014137923717499,80,167,11.1
2024,small,95337,11231,9532,0.13456324183633453,0.2577545393526829,0.7422454606473171,0.041299279779195786,2,319,11.9
