year,n_train,n_test,avg_ic,avg_spread,n_trees
2005,2803144,57150,0.020422761813007204,0.06357961148023605,19
2006,2860294,56274,0.030771178769380448,0.03504616394639015,51
2007,2916568,55307,0.043821261347189416,0.024446815252304077,78
2008,2971875,53574,-0.04353491464732064,0.05952190235257149,4
2009,3025449,49941,0.025212275748618264,0.0,1
2010,3075390,47952,-0.047154468428439865,0.05440017953515053,3
2011,3123342,46139,0.002176786030659208,0.05383796989917755,11
2012,3169481,44550,-0.01984767468810339,0.03422251716256142,8
2013,3214031,43480,0.013288969487128958,0.014059704728424549,92
2014,3257511,44439,-0.037034864501706365,0.0,2
2015,3301950,44999,-0.039715486247000796,0.0,1
2016,3346949,43781,0.034869598491186315,0.16863040626049042,1
2017,3390730,42923,0.0585316103997063,0.05315588787198067,37
2018,3433653,42915,0.06947909431713767,0.06305386126041412,49
2019,3476568,42939,0.06954725240370248,0.028299450874328613,155
2020,3519507,43029,0.0037309070409058654,0.1455375701189041,30
2021,3562536,48433,0.13810055745036584,0.05327269434928894,91
2022,3610969,52627,-0.06044434708883634,0.0952695831656456,16
2023,3663596,49741,0.013933457527659857,0.044275447726249695,6
2024,3713337,46800,-0.0038561097612587977,0.06726901978254318,1
